name	cr	size	type	tags	alignment	environment	ac	hp	init	legendary?	unique?	sources
Yeenoghu	24	Huge	Fiend	Demon	chaotic evil		22	348	3	legendary	unique	Out of the Abyss: 247
Yeenoghu	24	Huge	Fiend	Demon	chaotic evil	planar	20	333	3	legendary	unique	Mordenkainen's Tome of Foes: 155
Yellow Musk Creeper	2	Medium	Plant		unaligned		6	60	-4			Tomb of Annihilation: 237
Yellow Musk Zombie	0.5	Medium	Undead		unaligned		9	33	-1			Tomb of Annihilation: 237
Yestabrod	4	Large	Monstrosity		chaotic evil		15	75	0	legendary	unique	Out of the Abyss: 233
Yeth Hound	4	Large	Fey		neutral evil	"forest, grassland"	14	51	3			Volo's Guide to Monsters: 201
Yeti	3	Large	Monstrosity		chaotic evil	"arctic, cave, mountain"	12	51	1			"Basic Rules v1: 51, Monster Manual: 305"
Yochlol	10	Medium	Fiend	"Demon, Shapechanger"	chaotic evil	"dungeon, planar"	15	136	2			Monster Manual: 65
Young Black Dragon	7	Large	Dragon		chaotic evil	swamp	18	127	2			Monster Manual: 88
Young Blue Dragon	9	Large	Dragon		lawful evil	desert	18	152	0			Monster Manual: 91
Young Brass Dragon	6	Large	Dragon		chaotic good	"cave, underground"	17	110	0			Monster Manual: 105
Young Bronze Dragon	8	Large	Dragon		lawful good	coast	18	142	0			Monster Manual: 108
Young Copper Dragon	7	Large	Dragon		chaotic good	"cave, desert, grassland"	17	119	1			Monster Manual: 112
Young Gold Dragon	10	Large	Dragon		lawful good	"mountain, ruins"	18	178	2			Monster Manual: 115
Young Green Dragon	8	Large	Dragon		lawful evil	forest	18	136	1			"Basic Rules v1: 52, Monster Manual: 94"
Young Kruthik	0.125	Small	Monstrosity		unaligned	"cave, underground"	16	9	3			Mordenkainen's Tome of Foes: 211
Young Red Dragon	10	Large	Dragon		chaotic evil	mountain	18	178	0			"Monster Manual: 98, Princes of the Apocalypse Online Supplement v1.0: 38"
Young Red Shadow Dragon	13	Large	Dragon		chaotic evil	planar	18	178	0			Monster Manual: 85
Young Remorhaz	5	Large	Monstrosity		unaligned	"arctic, cave"	14	93	1			Monster Manual: 258
Young Silver Dragon	9	Large	Dragon		lawful good	"arctic, mountain"	18	168	0			Monster Manual: 118
Young White Dragon	6	Large	Dragon		chaotic evil	"arctic, cave, underground"	17	133	0			Monster Manual: 101
Yuan-ti Abomination	7	Large	Monstrosity	"Shapechanger, Yuan-ti"	neutral evil	"desert, forest, mountain, ruins, swamp"	15	127	3			Monster Manual: 308
Yuan-ti Anathema	12	Huge	Monstrosity	"Shapechanger, Yuan-ti"	neutral evil	"desert, forest, underground"	16	189	1			Volo's Guide to Monsters: 202
Yuan-ti Broodguard	2	Medium	Humanoid	Yuan-ti	neutral evil	"desert, forest, underground"	14	45	2			"Volo's Guide to Monsters: 203, Tomb of Annihilation: 238"
Yuan-ti Malison	3	Medium	Monstrosity	"Shapechanger, Yuan-ti"	neutral evil	"desert, forest, mountain, ruins, swamp"	12	66	2			"HotDQ supplement: 23, Monster Manual: 309"
Yuan-ti Mind Whisperer	4	Medium	Monstrosity	"Shapechanger, Yuan-ti"	neutral evil	"desert, forest, underground"	14	71	2			Volo's Guide to Monsters: 204
Yuan-ti Nightmare Speaker	4	Medium	Monstrosity	"Shapechanger, Yuan-ti"	neutral evil	"desert, forest, underground"	14	71	2			"Volo's Guide to Monsters: 205, Tomb of Annihilation: 239"
Yuan-ti Pit Master	5	Medium	Monstrosity	"Shapechanger, Yuan-ti"	neutral evil	"desert, forest, underground"	14	88	2			Volo's Guide to Monsters: 206
Yuan-ti Pureblood	1	Medium	Humanoid	Yuan-ti	neutral evil	"desert, forest, mountain, ruins, swamp"	11	40	1			"HotDQ supplement: 24, Monster Manual: 310"
Yusdrayl	1	Small	Humanoid	Kobold	lawful evil		12	16	2		unique	Tales from the Yawning Portal: 248
Zaratan	21	Gargantuan	Elemental		neutral	planar	21	307	0	legendary		Mordenkainen's Tome of Foes: 201
Zariel	26	Large	Fiend	Devil	lawful evil	planar	21	580	7	legendary	unique	Mordenkainen's Tome of Foes: 180
Zindar	8	Medium	Humanoid	Half-dragon	lawful good		13	110	0		unique	Tomb of Annihilation: 239
Zombie	0.5	Medium	Undead		neutral evil	"aquatic, arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	8	22	-2			"Basic Rules v1: 52, Monster Manual: 316, Player's Handbook: 311"
Zorbo	0.25	Small	Monstrosity		unaligned		10	27	0			Tomb of Annihilation: 241
Zuggtmoy	23	Large	Fiend	Demon	chaotic evil		18	304	2	legendary	unique	Out of the Abyss: 249
Zuggtmoy	23	Large	Fiend	Demon	chaotic evil	planar	18	304	2	legendary	unique	Mordenkainen's Tome of Foes: 157
